deployment,student_id,query_index,query_text,query_type
deployment_1,11480,1,how to print a value from a list but the indexes are their own list,guided
deployment_1,11480,2,now what,dependent
deployment_1,11480,3,whats wrong with my loop,guided
deployment_1,11480,4,whats wrong with this,dependent
deployment_1,11483,1,"Complete the following steps:

1.) A new student joined the class with scores [78, 84, 91]. Add their scores to grade_book.
2.) The first student's third score was entered incorrectly. Update it to 80.
3.) Using a nested for loop, print every individual score in grade_book, one per line.",dependent
deployment_1,11484,1,how do i access the int values inside of the list that is inside of another list,guided
deployment_1,11484,2,I dont know how to access the sublist values,guided
deployment_1,11485,1,how do i get to index 0 and edit a value in the list,guided
deployment_1,11485,2,Should i make a new variable for the inner lists to print scores individually,guided
deployment_1,11485,3,how can i print individual scores in the scores in the loop,guided
deployment_1,11485,4,I dont know,dependent
deployment_1,11487,1,why does it say line 12 when I don thave aline 12,guided
deployment_1,11487,2,"whats the command to replace a value, index?",guided
deployment_1,11487,3,"do I need o inclde """" or like ()",guided
deployment_1,11487,4,the third inex,dependent
deployment_1,11489,1,how would I update the first students third score to 80 if it is a list within a list,guided
deployment_1,11489,2,index 0,dependent
deployment_1,11489,3,2,dependent
deployment_1,11489,4,how can Im change this index,guided
deployment_1,11491,1,"how do i use a nested for loop to print each students individual score, one per line",guided
deployment_1,11491,2,i for inner and j for outer,dependent
deployment_1,11491,3,im not sure,dependent
deployment_1,11491,4,"so something like ""for student in grade_book:",dependent
deployment_1,11493,1,How to finish problem,dependent
deployment_1,11493,2,how to screenshot whole page,dependent
deployment_1,11494,1,why is the last test failing,dependent
deployment_1,11494,2,"this is the instructions: You are given a list of lists called grade_book, where each inner list contains a student's test scores.

Complete the following steps:

1.) A new student joined the class with scores [78, 84, 91]. Add their scores to grade_book.
2.) The first student's third score was entered incorrectly. Update it to 80.
3.) Using a nested for loop, print every individual score in grade_book, one per line.",dependent
deployment_1,11494,3,"this is the code i have: grade_book=[
    [85,90,78],
    [88,76,92],
    [90,91,85]
]
grade_book.append([78,84,91])
grade_book[0][2]=80

for student in grade_book:
    for score in student:
        print(score)",dependent
deployment_1,11496,1,how do i add scres to grade_book,dependent
deployment_1,11496,2,yes,dependent
deployment_1,11496,3,grade_book =,dependent
deployment_1,11496,4,"add new student csores to grade_book which are [78, 84, 91]",dependent
deployment_1,11496,5,"add score list [78, 84, 91] to grade_book",dependent
deployment_1,11498,1,how do I add a set to a variable,guided
deployment_1,11498,2,it is a set of 3 numbers,dependent
deployment_1,11498,3,turn it into a list to add to the list,dependent
deployment_1,11498,4,how do i use the append function,guided
deployment_1,11499,1,what is the code for inserting values into a variable,dependent
deployment_1,11500,1,what do I do for number 3,guided
deployment_1,11500,2,"You are given a list of lists called grade_book, where each inner list contains a student's test scores.

Complete the following steps:

1.) A new student joined the class with scores [78, 84, 91]. Add their scores to grade_book.
2.) The first student's third score was entered incorrectly. Update it to 80.
3.) Using a nested for loop, print every individual score in grade_book, one per line.",dependent
deployment_1,11500,3,im asking you to show me how,dependent
deployment_1,11500,4,i dont know,dependent
deployment_1,11501,1,how to append to a list to a list of lists in python,guided
deployment_1,11501,2,adds an entire list as a new element to grade_book,guided
deployment_1,11501,3,what does the print all scores step expect,guided
deployment_1,11502,1,how to print individual items in list,guided
deployment_1,11502,2,ok but how,dependent
deployment_1,11505,1,what would be the best way to attempt step 2,guided
deployment_1,11505,2,yes,dependent
deployment_1,11505,3,within my append code,dependent
